"","Generation","Najlepszy_wynik","Średnia","Mediana"
"127",127,-2.76827660101856,-3279.23212443693,-22.025438481517
"128",128,-2.738908066496,-1016.46474177995,-22.2947246241526
"129",129,-2.738908066496,-1336.03300864634,-21.9252345379427
"130",130,-2.738908066496,-2670.58791074051,-20.8180376744174
"131",131,-2.73662006718646,-3103.28700447064,-24.2125938557582
"132",132,-2.73662006718646,-2175.52604883219,-23.206720246242
"133",133,-2.63204578109477,-1460.48754553737,-21.6374114836986
"134",134,-2.63204578109477,-2761.60822237719,-22.1377587703962
"135",135,-2.63204578109477,-1793.82716129528,-21.1441015425226
"136",136,-2.62652796165831,-2303.69252635111,-22.022820465963
"137",137,-2.62291001420339,-3269.86829972584,-25.9696483695169
"138",138,-2.59582880168987,-1910.63545853792,-21.8633316014382
"139",139,-2.58310220119176,-1634.22143711941,-22.3650038087582
"140",140,-2.58310220119176,-1464.63837948719,-22.0006812752935
"141",141,-2.58310220119176,-2753.72064337077,-22.5392612752667
"142",142,-2.26739137915318,-1519.35972948314,-20.4690514665614
"143",143,-2.26739137915318,-1831.37058061016,-18.3489282083366
"144",144,-2.26739137915318,-2178.03039522142,-17.6798547562294
"145",145,-2.26031906913473,-1452.11938149272,-16.2254031434755
"146",146,-2.26031906913473,-2502.69105333134,-14.7874554513259
"147",147,-2.26031906913473,-1741.59482051117,-14.4115054158111
"148",148,-2.26012554465646,-2308.61974483914,-13.2467763302686
"149",149,-2.17602647126341,-1937.09325527715,-13.033553517861
"150",150,-2.17602647126341,-2572.02136732342,-12.315752300287
"151",151,-2.17602647126341,-1306.03216769401,-11.6511380624093
"152",152,-2.17602647126341,-1523.57664850113,-11.2821349984734
"153",153,-2.14918138260604,-1579.24830564685,-10.6217714516767
"154",154,-2.13170877340477,-2234.39249460486,-11.4517913332021
"155",155,-2.1203270316868,-2981.90000446941,-12.4136637492788
"156",156,-2.11857269319163,-2011.23802128747,-12.7234668914687
"157",157,-2.11857269319163,-800.852049987477,-13.2215456144431
"158",158,-2.11857269319163,-3368.65915639125,-11.934591237614
"159",159,-2.11857269319163,-1707.77468254875,-13.0481337477576
"160",160,-2.11804244818054,-1721.93166236446,-13.5786711793065
"161",161,-2.11804244818054,-1159.82158127002,-14.036940506107
"162",162,-2.11804244818054,-2212.00443418783,-14.1939278142156
"163",163,-1.39879689342606,-2715.37874081212,-14.9530608614275
"164",164,-1.38066596753237,-2590.09654310432,-15.8521945036957
"165",165,-1.38066596753237,-3067.65348930906,-15.9623209634056
"166",166,-1.3213798922436,-1951.37095624494,-15.1314132044632
"167",167,-1.31921054252074,-796.91637615107,-15.0266802690371
"168",168,-1.31921054252074,-1385.62986932328,-14.4885748343673
"169",169,-1.31921054252074,-827.152472922028,-14.4441779355159
"170",170,-1.30958944813561,-2491.04256579155,-13.7263458818756
"171",171,-1.30958944813561,-1128.71186427534,-13.1034976698463
"172",172,-1.30958944813561,-815.096603152683,-12.8992554010405
"173",173,-1.30955805982445,-1820.68428717667,-12.2531887525301
"174",174,-1.30735508677574,-1101.71576619491,-12.4839051103892
"175",175,-1.27105390943664,-2886.81150261356,-12.1097180069052
"176",176,-1.15072250973865,-1893.68128882775,-11.5159042739687
"177",177,-1.15072250973865,-802.563828870194,-12.2819292951635
"178",178,-1.04232588516527,-2994.36228002437,-11.6251584662469
"179",179,-1.04232588516527,-4430.85288449935,-12.2256341967143
"180",180,-1.04199771726949,-1910.72275927993,-11.573606634906
"181",181,-1.04199771726949,-2667.20464477391,-11.0386670979116
"182",182,-1.04199771726949,-1258.50981837585,-10.5472422365664
"183",183,-1.04165227532039,-1566.7701543987,-11.322198106774
"184",184,-1.04074608711183,-1456.99257366193,-11.5712328814313
"185",185,-1.04074608711183,-1136.25256324788,-10.0792145791393
"186",186,-1.04074608711183,-1777.89475032859,-10.3439829271389
"187",187,-1.04074608711183,-1027.48100336392,-11.1786002250218
"188",188,-0.957245867684079,-1393.82054034848,-11.0288615165362
"189",189,-0.957245867684079,-2167.52828812586,-11.4341404734325
"190",190,-0.957245867684079,-415.471379033482,-10.431986189835
"191",191,-0.935138971967097,-1332.43967276146,-9.79688451917403
"192",192,-0.935138971967097,-2583.94423419911,-8.81182021213974
"193",193,-0.935138971967097,-1767.83517773068,-8.74928358425804
"194",194,-0.935138971967097,-1163.01673917145,-9.04314530602077
